ID	DOCULECT	CONCEPT	GLOSSID	IPA	TOKENS	COGID	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	COGNATES
516	Czech	fat	26	tʊk	t ʊ k	162	1 7 1	AXN	TYK	3	3.T.C 3.Y.V 3.K.c	2.0 1.5 0.8	0	430
517	Icelandic	fat	26	fɪːta	f ɪː t a	166	3 7 1 7	AXBZ	BITA	11	11.B.C 11.I.V 11.T.C 11.A.V	2.0 1.5 1.75 0.8	0	431
518	Italian	fat	26	ɡrasso	ɡ r a sː o	160	1 5 7 3 7	ACXBZ	KRASU	12	12.K.C 12.R.C 12.A.V 12.S.C 12.U.V	2.0 1.5 1.5 1.75 0.8	0	434
519	Hindi	fat	26	ʧərbiː	ʧ ə r b iː	-169	2 7 5 1 7	AXMBZ	CERPI	10	10.C.C 10.E.V 10.R.c 10.P.C 10.I.V	2.0 1.5 1.1 1.75 0.8	0	437
520	Portuguese	fat	26	gurdurɐ	g u r d u r ɐ	163	1 7 5 1 7 5 7	AXMBYBZ	KYRTYRE	15	15.K.C 15.Y.V 15.R.c 15.T.C 15.Y.V 15.R.C 15.E.V	2.0 1.5 1.1 1.75 1.3 1.75 0.8	0	442
521	Spanish	fat	26	ɡoɾðo	ɡ o ɾ ð o	163	1 7 5 3 7	AXMBZ	KURDU	18	18.K.C 18.U.V 18.R.c 18.D.C 18.U.V	2.0 1.5 1.1 1.75 0.8	0	442
522	Czech	fat	26	saːdlo	s aː d l o	159	3 7 1 5 7	AXBCZ	SATLU	3	3.S.C 3.A.V 3.T.C 3.L.C 3.U.V	2.0 1.5 1.75 1.5 0.8	0	447
523	Dutch	feather	27	veːr	v eː r	170	3 7 5	AXN	BER	5	5.B.C 5.E.V 5.R.c	2.0 1.5 0.8	0	453
524	Swedish	feather	27	fjɛːder	f j ɛː d e r	170	3 6 7 1 7 5	ACXBYN	BJETER	19	19.B.C 19.J.C 19.E.V 19.T.C 19.E.V 19.R.c	2.0 1.5 1.5 1.75 1.3 0.8	0	453
525	English	feather	27	fɛðər	f ɛ ð ə r	170	3 7 3 7 5	AXBYN	BEDER	6	6.B.C 6.E.V 6.D.C 6.E.V 6.R.c	2.0 1.5 1.75 1.3 0.8	0	453
526	German	feather	27	feːdər	f eː d ə r	170	3 7 1 7 5	AXBYN	BETER	8	8.B.C 8.E.V 8.T.C 8.E.V 8.R.c	2.0 1.5 1.75 1.3 0.8	0	453
527	Spanish	feather	27	pluma	p l u m a	172	1 5 7 4 7	ACXBZ	PLYMA	18	18.P.C 18.L.C 18.Y.V 18.M.C 18.A.V	2.0 1.5 1.5 1.75 0.8	0	454
528	Danish	feather	27	fjeðˀʌ	f j e ðˀ ʌ	170	3 6 7 3 7	ACXBZ	BJEDE	4	4.B.C 4.J.C 4.E.V 4.D.C 4.E.V	2.0 1.5 1.5 1.75 0.8	0	453
529	Bulgarian	feather	27	pɛrɔ	p ɛ r ɔ	174	1 7 5 7	AXBZ	PERU	2	2.P.C 2.E.V 2.R.C 2.U.V	2.0 1.5 1.75 0.8	0	449
530	Greek	feather	27	ftero	f t e r o	170	3 1 7 5 7	ACYBZ	BTERU	9	9.B.C 9.T.C 9.E.V 9.R.C 9.U.V	2.0 1.5 1.3 1.75 0.8	0	456
531	Armenian	feather	27	pʰɛtuɾ	pʰ ɛ t u ɾ	-171	1 7 1 7 5	AXBYN	PETYR	1	1.P.C 1.E.V 1.T.C 1.Y.V 1.R.c	2.0 1.5 1.75 1.3 0.8	0	448
532	Romanian	feather	27	panə	p a n ə	170	1 7 4 7	AXBZ	PANE	16	16.P.C 16.A.V 16.N.C 16.E.V	2.0 1.5 1.75 0.8	0	462
533	Russian	feather	27	pʲɪro	pʲ ɪ r o	174	1 7 5 7	AXBZ	PIRU	17	17.P.C 17.I.V 17.R.C 17.U.V	2.0 1.5 1.75 0.8	0	449
534	Polish	feather	27	pʲurɔ	pʲ u r ɔ	174	1 7 5 7	AXBZ	PYRU	14	14.P.C 14.Y.V 14.R.C 14.U.V	2.0 1.5 1.75 0.8	0	449
535	Norwegian	feather	27	fjæːɾ	f j æː ɾ	170	3 6 7 5	ACXN	BJER	13	13.B.C 13.J.C 13.E.V 13.R.c	2.0 1.5 1.5 0.8	0	453
536	French	feather	27	plym	p l y m	172	1 5 7 4	ACXN	PLYM	7	7.P.C 7.L.C 7.Y.V 7.M.c	2.0 1.5 1.5 0.8	0	454
537	Czech	feather	27	pɛːro	p ɛː r o	174	1 7 5 7	AXBZ	PERU	3	3.P.C 3.E.V 3.R.C 3.U.V	2.0 1.5 1.75 0.8	0	449
538	Icelandic	feather	27	fjœːðʏr	f j œː ð ʏ r	170	3 6 7 3 7 5	ACXBYN	BJUDYR	11	11.B.C 11.J.C 11.U.V 11.D.C 11.Y.V 11.R.c	2.0 1.5 1.5 1.75 1.3 0.8	0	453
539	Italian	feather	27	pjuma	p j u m a	172	1 6 7 4 7	ACXBZ	PJYMA	12	12.P.C 12.J.C 12.Y.V 12.M.C 12.A.V	2.0 1.5 1.5 1.75 0.8	0	454
540	Hindi	feather	27	pə̃ŋkʰ	p ə̃ ŋ kʰ	173	1 7 4 1	AXLN	PENK	10	10.P.C 10.E.V 10.N.c 10.K.c	2.0 1.5 1.1 0.8	0	457
541	Portuguese	feather	27	penɐ	p e n ɐ	170	1 7 4 7	AXBZ	PENE	15	15.P.C 15.E.V 15.N.C 15.E.V	2.0 1.5 1.75 0.8	0	462
542	Italian	feather	27	pɛnna	p ɛ nː a	170	1 7 4 7	AXBZ	PENA	12	12.P.C 12.E.V 12.N.C 12.A.V	2.0 1.5 1.75 0.8	0	462
543	Dutch	fire	28	vyːr	v yː r	181	3 7 5	AXN	BYR	5	5.B.C 5.Y.V 5.R.c	2.0 1.5 0.8	0	467
544	Swedish	fire	28	elːd	e lː d	176	7 5 1	XLN	ELT	19	19.E.V 19.L.c 19.T.c	1.5 1.1 0.8	0	466
545	English	fire	28	faɪər	f aɪə r	181	3 7 5	AXN	BAR	6	6.B.C 6.A.V 6.R.c	2.0 1.5 0.8	0	468
546	German	fire	28	fɔyər	f ɔyə r	181	3 7 5	AXN	BUR	8	8.B.C 8.U.V 8.R.c	2.0 1.5 0.8	0	468
547	Spanish	fire	28	fweɣo	f w e ɣ o	179	3 6 7 3 7	ACXBZ	BWEGU	18	18.B.C 18.W.C 18.E.V 18.G.C 18.U.V	2.0 1.5 1.5 1.75 0.8	0	474
548	Danish	fire	28	ilˀ	i lˀ	176	7 5	XN	IL	4	4.I.V 4.L.c	1.5 0.8	0	466
549	Bulgarian	fire	28	ɔɡən	ɔ ɡ ə n	178	7 1 7 4	XBYN	UKEN	2	2.U.V 2.K.C 2.E.V 2.N.c	1.5 1.75 1.3 0.8	0	464
550	Greek	fire	28	fotça	f o t ç a	175	3 7 1 3 7	AXBCZ	BUTSA	9	9.B.C 9.U.V 9.T.C 9.S.C 9.A.V	2.0 1.5 1.75 1.5 0.8	0	471
551	Armenian	fire	28	kəɾɑk	k ə ɾ ɑ k	180	1 7 5 7 1	AXBYN	KERAK	1	1.K.C 1.E.V 1.R.C 1.A.V 1.K.c	2.0 1.5 1.75 1.3 0.8	0	463
552	Romanian	fire	28	fok	f o k	179	3 7 1	AXN	BUK	16	16.B.C 16.U.V 16.K.c	2.0 1.5 0.8	0	474
553	Russian	fire	28	ɐɡonʲ	ɐ ɡ o nʲ	178	7 1 7 4	XBYN	EKUN	17	17.E.V 17.K.C 17.U.V 17.N.c	1.5 1.75 1.3 0.8	0	464
554	Polish	fire	28	ɔɡʲɛnʲ	ɔ ɡʲ ɛ nʲ	178	7 1 7 4	XBYN	UKEN	14	14.U.V 14.K.C 14.E.V 14.N.c	1.5 1.75 1.3 0.8	0	464
555	Norwegian	fire	28	ʋɑɾmə	ʋ ɑ ɾ m ə	177	6 7 5 4 7	AXMBZ	WARME	13	13.W.C 13.A.V 13.R.c 13.M.C 13.E.V	2.0 1.5 1.1 1.75 0.8	0	475
556	French	fire	28	fø	f ø	179	3 7	AX	BU	7	7.B.C 7.U.V	2.0 1.5	0	468
557	Czech	fire	28	oɦɛnʲ	o ɦ ɛ nʲ	178	7 3 7 4	XBYN	UHEN	3	3.U.V 3.H.C 3.E.V 3.N.c	1.5 1.75 1.3 0.8	0	464
558	Icelandic	fire	28	ɛltʏr	ɛ l t ʏ r	176	7 5 1 7 5	XMBYN	ELTYR	11	11.E.V 11.L.c 11.T.C 11.Y.V 11.R.c	1.5 1.1 1.75 1.3 0.8	0	466
559	Italian	fire	28	fwɔko	f w ɔ k o	179	3 6 7 1 7	ACXBZ	BWUKU	12	12.B.C 12.W.C 12.U.V 12.K.C 12.U.V	2.0 1.5 1.5 1.75 0.8	0	474
560	Hindi	fire	28	aːg	aː g	178	7 1	XN	AK	10	10.A.V 10.K.c	1.5 0.8	0	463
561	Portuguese	fire	28	fogu	f o g u	179	3 7 1 7	AXBZ	BUKY	15	15.B.C 15.U.V 15.K.C 15.Y.V	2.0 1.5 1.75 0.8	0	474
562	Norwegian	fire	28	il	i l	176	7 5	XN	IL	13	13.I.V 13.L.c	1.5 0.8	0	466
563	Dutch	fish	29	vɪs	v ɪ s	182	3 7 3	AXN	BIS	5	5.B.C 5.I.V 5.S.c	2.0 1.5 0.8	0	479
564	Swedish	fish	29	fisːk	f i sː k	182	3 7 3 1	AXLN	BISK	19	19.B.C 19.I.V 19.S.c 19.K.c	2.0 1.5 1.1 0.8	0	479
565	English	fish	29	fɪʃ	f ɪ ʃ	182	3 7 3	AXN	BIS	6	6.B.C 6.I.V 6.S.c	2.0 1.5 0.8	0	479
566	German	fish	29	fɪʃ	f ɪ ʃ	182	3 7 3	AXN	BIS	8	8.B.C 8.I.V 8.S.c	2.0 1.5 0.8	0	479
567	Spanish	fish	29	peskaðo	p e s k a ð o	182	1 7 3 1 7 3 7	AXMBYBZ	PESKADU	18	18.P.C 18.E.V 18.S.c 18.K.C 18.A.V 18.D.C 18.U.V	2.0 1.5 1.1 1.75 1.3 1.75 0.8	0	493
568	Danish	fish	29	fesg	f e s g	182	3 7 3 1	AXLN	BESK	4	4.B.C 4.E.V 4.S.c 4.K.c	2.0 1.5 1.1 0.8	0	479
569	Bulgarian	fish	29	ribə	r i b ə	184	5 7 1 7	AXBZ	RIPE	2	2.R.C 2.I.V 2.P.C 2.E.V	2.0 1.5 1.75 0.8	0	477
570	Greek	fish	29	p͡sari	p͡s a r i	185	1 7 5 7	AXBZ	PARI	9	9.P.C 9.A.V 9.R.C 9.I.V	2.0 1.5 1.75 0.8	0	484
571	Armenian	fish	29	ʣuk	ʣ u k	183	2 7 1	AXN	CYK	1	1.C.C 1.Y.V 1.K.c	2.0 1.5 0.8	0	476
572	Romanian	fish	29	peʃte	p e ʃ t e	182	1 7 3 1 7	AXMBZ	PESTE	16	16.P.C 16.E.V 16.S.c 16.T.C 16.E.V	2.0 1.5 1.1 1.75 0.8	0	482
573	Russian	fish	29	rɨbə	r ɨ b ə	184	5 7 1 7	AXBZ	RIPE	17	17.R.C 17.I.V 17.P.C 17.E.V	2.0 1.5 1.75 0.8	0	477
574	Polish	fish	29	rɨba	r ɨ b a	184	5 7 1 7	AXBZ	RIPA	14	14.R.C 14.I.V 14.P.C 14.A.V	2.0 1.5 1.75 0.8	0	477
575	Norwegian	fish	29	fisk	f i s k	182	3 7 3 1	AXLN	BISK	13	13.B.C 13.I.V 13.S.c 13.K.c	2.0 1.5 1.1 0.8	0	479
576	French	fish	29	pwasõ	p w a s õ	182	1 6 7 3 7	ACXBZ	PWASU	7	7.P.C 7.W.C 7.A.V 7.S.C 7.U.V	2.0 1.5 1.5 1.75 0.8	0	482
577	Czech	fish	29	rɪba	r ɪ b a	184	5 7 1 7	AXBZ	RIPA	3	3.R.C 3.I.V 3.P.C 3.A.V	2.0 1.5 1.75 0.8	0	477
578	Icelandic	fish	29	fɪskʏr	f ɪ s k ʏ r	182	3 7 3 1 7 5	AXMBYN	BISKYR	11	11.B.C 11.I.V 11.S.c 11.K.C 11.Y.V 11.R.c	2.0 1.5 1.1 1.75 1.3 0.8	0	479
579	Italian	fish	29	peʃʃe	p e ʃː e	182	1 7 3 7	AXBZ	PESE	12	12.P.C 12.E.V 12.S.C 12.E.V	2.0 1.5 1.75 0.8	0	482
580	Hindi	fish	29	məʧliː	m ə ʧ l iː	186	4 7 2 5 7	AXBCZ	MECLI	10	10.M.C 10.E.V 10.C.C 10.L.C 10.I.V	2.0 1.5 1.75 1.5 0.8	0	485
581	Portuguese	fish	29	pɐjʃə	p ɐ j ʃ ə	182	1 7 6 3 7	AXMBZ	PEJSE	15	15.P.C 15.E.V 15.J.c 15.S.C 15.E.V	2.0 1.5 1.1 1.75 0.8	0	482
582	Dutch	fly (V)	30	vliːɣə	v l iː ɣ ə	190	3 5 7 3 7	ACXBZ	BLIGE	5	5.B.C 5.L.C 5.I.V 5.G.C 5.E.V	2.0 1.5 1.5 1.75 0.8	0	498
583	Swedish	fly (V)	30	flʉga	f l ʉ g a	190	3 5 7 1 7	ACXBZ	BLYKA	19	19.B.C 19.L.C 19.Y.V 19.K.C 19.A.V	2.0 1.5 1.5 1.75 0.8	0	498
584	English	fly (V)	30	flaɪ	f l aɪ	190	3 5 7	ACX	BLA	6	6.B.C 6.L.C 6.A.V	2.0 1.5 1.5	0	498
585	German	fly (V)	30	fliːɡən	f l iː ɡ ə n	190	3 5 7 1 7 4	ACXBYN	BLIKEN	8	8.B.C 8.L.C 8.I.V 8.K.C 8.E.V 8.N.c	2.0 1.5 1.5 1.75 1.3 0.8	0	498
586	Spanish	fly (V)	30	bolaɾ	b o l a ɾ	187	1 7 5 7 5	AXBYN	PULAR	18	18.P.C 18.U.V 18.L.C 18.A.V 18.R.c	2.0 1.5 1.75 1.3 0.8	0	500
587	Danish	fly (V)	30	flyːvə	f l yː v ə	190	3 5 7 3 7	ACXBZ	BLYBE	4	4.B.C 4.L.C 4.Y.V 4.B.C 4.E.V	2.0 1.5 1.5 1.75 0.8	0	498
588	Bulgarian	fly (V)	30	lɛtʲə	l ɛ tʲ ə	188	5 7 1 7	AXBZ	LETE	2	2.L.C 2.E.V 2.T.C 2.E.V	2.0 1.5 1.75 0.8	0	495
589	Greek	fly (V)	30	peto	p e t o	191	1 7 1 7	AXBZ	PETU	9	9.P.C 9.E.V 9.T.C 9.U.V	2.0 1.5 1.75 0.8	0	502
590	Armenian	fly (V)	30	tʰərʧʰɛl	tʰ ə r ʧʰ ɛ l	191	1 7 5 2 7 5	AXMBYN	TERCEL	1	1.T.C 1.E.V 1.R.c 1.C.C 1.E.V 1.L.c	2.0 1.5 1.1 1.75 1.3 0.8	0	494
591	Romanian	fly (V)	30	zbura	z b u r a	187	3 1 7 5 7	ACYBZ	SPYRA	16	16.S.C 16.P.C 16.Y.V 16.R.C 16.A.V	2.0 1.5 1.3 1.75 0.8	0	509
592	Russian	fly (V)	30	lʲɪtʲetʲ	lʲ ɪ tʲ e tʲ	188	5 7 1 7 1	AXBYN	LITET	17	17.L.C 17.I.V 17.T.C 17.E.V 17.T.c	2.0 1.5 1.75 1.3 0.8	0	495
593	Polish	fly (V)	30	lataʨ	l a t a ʨ	188	5 7 1 7 2	AXBYN	LATAC	14	14.L.C 14.A.V 14.T.C 14.A.V 14.C.c	2.0 1.5 1.75 1.3 0.8	0	495
594	Norwegian	fly (V)	30	flyː	f l yː	190	3 5 7	ACX	BLY	13	13.B.C 13.L.C 13.Y.V	2.0 1.5 1.5	0	498
595	French	fly (V)	30	vɔle	v ɔ l e	187	3 7 5 7	AXBZ	BULE	7	7.B.C 7.U.V 7.L.C 7.E.V	2.0 1.5 1.75 0.8	0	500
596	Czech	fly (V)	30	lɛːtat	l ɛː t a t	188	5 7 1 7 1	AXBYN	LETAT	3	3.L.C 3.E.V 3.T.C 3.A.V 3.T.c	2.0 1.5 1.75 1.3 0.8	0	495
597	Icelandic	fly (V)	30	fljuːa	f l j uːa	190	3 5 6 7	ACCX	BLJY	11	11.B.C 11.L.C 11.J.C 11.Y.V	2.0 1.5 1.5 1.5	0	498
598	Italian	fly (V)	30	volare	v o l a r e	187	3 7 5 7 5 7	AXBYBZ	BULARE	12	12.B.C 12.U.V 12.L.C 12.A.V 12.R.C 12.E.V	2.0 1.5 1.75 1.3 1.75 0.8	0	500
599	Hindi	fly (V)	30	ʊɽnaː	ʊ ɽ n aː	189	7 5 4 7	XMBZ	YRNA	10	10.Y.V 10.R.c 10.N.C 10.A.V	1.5 1.1 1.75 0.8	0	503
600	Portuguese	fly (V)	30	vwar	v w a r	187	3 6 7 5	ACXN	BWAR	15	15.B.C 15.W.C 15.A.V 15.R.c	2.0 1.5 1.5 0.8	0	508
601	Dutch	foot	31	vuːt	v uː t	194	3 7 1	AXN	BYT	5	5.B.C 5.Y.V 5.T.c	2.0 1.5 0.8	0	513
602	Swedish	foot	31	foːt	f oː t	194	3 7 1	AXN	BUT	19	19.B.C 19.U.V 19.T.c	2.0 1.5 0.8	0	513
603	English	foot	31	fʊt	f ʊ t	194	3 7 1	AXN	BYT	6	6.B.C 6.Y.V 6.T.c	2.0 1.5 0.8	0	513
604	German	foot	31	fuːs	f uː s	194	3 7 3	AXN	BYS	8	8.B.C 8.Y.V 8.S.c	2.0 1.5 0.8	0	513
605	Spanish	foot	31	pje	p j e	194	1 6 7	ACX	PJE	18	18.P.C 18.J.C 18.E.V	2.0 1.5 1.5	0	516
606	Danish	foot	31	foˀð	f oˀ ð	194	3 7 3	AXN	BUD	4	4.B.C 4.U.V 4.D.c	2.0 1.5 0.8	0	513
607	Bulgarian	foot	31	krak	k r a k	193	1 5 7 1	ACXN	KRAK	2	2.K.C 2.R.C 2.A.V 2.K.c	2.0 1.5 1.5 0.8	0	511
608	Greek	foot	31	poði	p o ð i	194	1 7 3 7	AXBZ	PUDI	9	9.P.C 9.U.V 9.D.C 9.I.V	2.0 1.5 1.75 0.8	0	518
609	Armenian	foot	31	votkʰ	v o t kʰ	194	3 7 1 1	AXLN	BUTK	1	1.B.C 1.U.V 1.T.c 1.K.c	2.0 1.5 1.1 0.8	0	510
610	Romanian	foot	31	piʧjor	p i ʧ j o r	194	1 7 2 6 7 5	AXBCYN	PICJUR	16	16.P.C 16.I.V 16.C.C 16.J.C 16.U.V 16.R.c	2.0 1.5 1.75 1.5 1.3 0.8	0	525
611	Russian	foot	31	nɐɡa	n ɐ ɡ a	192	4 7 1 7	AXBZ	NEKA	17	17.N.C 17.E.V 17.K.C 17.A.V	2.0 1.5 1.75 0.8	0	512
612	Polish	foot	31	nɔɡa	n ɔ ɡ a	192	4 7 1 7	AXBZ	NUKA	14	14.N.C 14.U.V 14.K.C 14.A.V	2.0 1.5 1.75 0.8	0	512
613	Norwegian	foot	31	fuːt	f uː t	194	3 7 1	AXN	BYT	13	13.B.C 13.Y.V 13.T.c	2.0 1.5 0.8	0	513
614	French	foot	31	pje	p j e	194	1 6 7	ACX	PJE	7	7.P.C 7.J.C 7.E.V	2.0 1.5 1.5	0	516
615	Czech	foot	31	noɦa	n o ɦ a	192	4 7 3 7	AXBZ	NUHA	3	3.N.C 3.U.V 3.H.C 3.A.V	2.0 1.5 1.75 0.8	0	512
616	Icelandic	foot	31	fouːtʏr	f ouː t ʏ r	194	3 7 1 7 5	AXBYN	BUTYR	11	11.B.C 11.U.V 11.T.C 11.Y.V 11.R.c	2.0 1.5 1.75 1.3 0.8	0	513
617	Italian	foot	31	pjɛde	p j ɛ d e	194	1 6 7 1 7	ACXBZ	PJETE	12	12.P.C 12.J.C 12.E.V 12.T.C 12.E.V	2.0 1.5 1.5 1.75 0.8	0	516
618	Hindi	foot	31	pɛːr	p ɛː r	194	1 7 5	AXN	PER	10	10.P.C 10.E.V 10.R.c	2.0 1.5 0.8	0	518
619	Portuguese	foot	31	pɛ	p ɛ	194	1 7	AX	PE	15	15.P.C 15.E.V	2.0 1.5	0	516
620	Dutch	full	32	vɔl	v ɔ l	196	3 7 5	AXN	BUL	5	5.B.C 5.U.V 5.L.c	2.0 1.5 0.8	0	529
621	Swedish	full	32	fulː	f u lː	196	3 7 5	AXN	BYL	19	19.B.C 19.Y.V 19.L.c	2.0 1.5 0.8	0	529
622	English	full	32	fʊl	f ʊ l	196	3 7 5	AXN	BYL	6	6.B.C 6.Y.V 6.L.c	2.0 1.5 0.8	0	529
623	German	full	32	fɔl	f ɔ l	196	3 7 5	AXN	BUL	8	8.B.C 8.U.V 8.L.c	2.0 1.5 0.8	0	529
624	Spanish	full	32	ʎeno	ʎ e n o	196	5 7 4 7	AXBZ	LENU	18	18.L.C 18.E.V 18.N.C 18.U.V	2.0 1.5 1.75 0.8	0	537
625	Danish	full	32	fulˀ	f u lˀ	196	3 7 5	AXN	BYL	4	4.B.C 4.Y.V 4.L.c	2.0 1.5 0.8	0	529
626	Bulgarian	full	32	pɤlɛn	p ɤ l ɛ n	196	1 7 5 7 4	AXBYN	PELEN	2	2.P.C 2.E.V 2.L.C 2.E.V 2.N.c	2.0 1.5 1.75 1.3 0.8	0	527
627	Greek	full	32	ʝematos	ʝ e m a t o s	195	3 7 4 7 1 7 3	AXBYBYN	SEMATUS	9	9.S.C 9.E.V 9.M.C 9.A.V 9.T.C 9.U.V 9.S.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	0	534
628	Armenian	full	32	likʰə	l i kʰ ə	196	5 7 1 7	AXBZ	LIKE	1	1.L.C 1.I.V 1.K.C 1.E.V	2.0 1.5 1.75 0.8	0	526
629	Romanian	full	32	plin	p l i n	196	1 5 7 4	ACXN	PLIN	16	16.P.C 16.L.C 16.I.V 16.N.c	2.0 1.5 1.5 0.8	0	527
630	Russian	full	32	polnɨj	p o l n ɨ j	196	1 7 5 4 7 6	AXMBYN	PULNIJ	17	17.P.C 17.U.V 17.L.c 17.N.C 17.I.V 17.J.c	2.0 1.5 1.1 1.75 1.3 0.8	0	539
631	Polish	full	32	pɛwnɨ	p ɛ w n ɨ	196	1 7 6 4 7	AXMBZ	PEWNI	14	14.P.C 14.E.V 14.W.c 14.N.C 14.I.V	2.0 1.5 1.1 1.75 0.8	0	539
632	Norwegian	full	32	fʉl	f ʉ l	196	3 7 5	AXN	BYL	13	13.B.C 13.Y.V 13.L.c	2.0 1.5 0.8	0	529
633	French	full	32	plɛ̃	p l ɛ̃	196	1 5 7	ACX	PLE	7	7.P.C 7.L.C 7.E.V	2.0 1.5 1.5	0	527
634	Czech	full	32	pl̩niː	p l̩ n iː	196	1 5 4 7	AXBZ	PLNI	3	3.P.C 3.L.V 3.N.C 3.I.V	2.0 1.5 1.75 0.8	0	528
635	Icelandic	full	32	fʏt͡lʏr	f ʏ t͡l ʏ r	196	3 7 1 7 5	AXBYN	BYTYR	11	11.B.C 11.Y.V 11.T.C 11.Y.V 11.R.c	2.0 1.5 1.75 1.3 0.8	0	536
636	Italian	full	32	pjɛno	p j ɛ n o	196	1 6 7 4 7	ACXBZ	PJENU	12	12.P.C 12.J.C 12.E.V 12.N.C 12.U.V	2.0 1.5 1.5 1.75 0.8	0	537
637	Hindi	full	32	puːraː	p uː r aː	196	1 7 5 7	AXBZ	PYRA	10	10.P.C 10.Y.V 10.R.C 10.A.V	2.0 1.5 1.75 0.8	0	527
638	Portuguese	full	32	ʃɐju	ʃ ɐ j u	196	3 7 6 7	AXBZ	SEJY	15	15.S.C 15.E.V 15.J.C 15.Y.V	2.0 1.5 1.75 0.8	0	537
639	Dutch	give (V)	33	xeːvə	x eː v ə	197	3 7 3 7	AXBZ	GEBE	5	5.G.C 5.E.V 5.B.C 5.E.V	2.0 1.5 1.75 0.8	0	544
640	Swedish	give (V)	33	jiːva	j iː v a	197	6 7 3 7	AXBZ	JIBA	19	19.J.C 19.I.V 19.B.C 19.A.V	2.0 1.5 1.75 0.8	0	552
641	English	give (V)	33	ɡɪv	ɡ ɪ v	197	1 7 3	AXN	KIB	6	6.K.C 6.I.V 6.B.c	2.0 1.5 0.8	0	543
642	German	give (V)	33	ɡeːbən	ɡ eː b ə n	197	1 7 1 7 4	AXBYN	KEPEN	8	8.K.C 8.E.V 8.P.C 8.E.V 8.N.c	2.0 1.5 1.75 1.3 0.8	0	544
643	Spanish	give (V)	33	daɾ	d a ɾ	198	1 7 5	AXN	TAR	18	18.T.C 18.A.V 18.R.c	2.0 1.5 0.8	0	540
644	Danish	give (V)	33	giˀ	g iˀ	197	1 7	AX	KI	4	4.K.C 4.I.V	2.0 1.5	0	543
645	Bulgarian	give (V)	33	davəm	d a v ə m	198	1 7 3 7 4	AXBYN	TABEM	2	2.T.C 2.A.V 2.B.C 2.E.V 2.M.c	2.0 1.5 1.75 1.3 0.8	0	542
646	Greek	give (V)	33	ðino	ð i n o	198	3 7 4 7	AXBZ	DINU	9	9.D.C 9.I.V 9.N.C 9.U.V	2.0 1.5 1.75 0.8	0	546
647	Armenian	give (V)	33	tɑl	t ɑ l	198	1 7 5	AXN	TAL	1	1.T.C 1.A.V 1.L.c	2.0 1.5 0.8	0	540
648	Romanian	give (V)	33	da	d a	198	1 7	AX	TA	16	16.T.C 16.A.V	2.0 1.5	0	540
649	Russian	give (V)	33	datʲ	d a tʲ	198	1 7 1	AXN	TAT	17	17.T.C 17.A.V 17.T.c	2.0 1.5 0.8	0	542
650	Polish	give (V)	33	davaʨ	d a v a ʨ	198	1 7 3 7 2	AXBYN	TABAC	14	14.T.C 14.A.V 14.B.C 14.A.V 14.C.c	2.0 1.5 1.75 1.3 0.8	0	542
651	Norwegian	give (V)	33	jiː	j iː	197	6 7	AX	JI	13	13.J.C 13.I.V	2.0 1.5	0	552
652	French	give (V)	33	dɔne	d ɔ n e	198	1 7 4 7	AXBZ	TUNE	7	7.T.C 7.U.V 7.N.C 7.E.V	2.0 1.5 1.75 0.8	0	546
653	Czech	give (V)	33	daːt	d aː t	198	1 7 1	AXN	TAT	3	3.T.C 3.A.V 3.T.c	2.0 1.5 0.8	0	542
654	Icelandic	give (V)	33	cɛːva	c ɛː v a	197	1 7 3 7	AXBZ	CEBA	11	11.C.C 11.E.V 11.B.C 11.A.V	2.0 1.5 1.75 0.8	0	544
655	Italian	give (V)	33	dare	d a r e	198	1 7 5 7	AXBZ	TARE	12	12.T.C 12.A.V 12.R.C 12.E.V	2.0 1.5 1.75 0.8	0	540
656	Hindi	give (V)	33	deːnaː	d eː n aː	198	1 7 4 7	AXBZ	TENA	10	10.T.C 10.E.V 10.N.C 10.A.V	2.0 1.5 1.75 0.8	0	546
657	Portuguese	give (V)	33	dar	d a r	198	1 7 5	AXN	TAR	15	15.T.C 15.A.V 15.R.c	2.0 1.5 0.8	0	540
658	Dutch	good	34	xuːt	x uː t	205	3 7 1	AXN	GYT	5	5.G.C 5.Y.V 5.T.c	2.0 1.5 0.8	0	556
659	Swedish	good	34	guːd	g uː d	205	1 7 1	AXN	KYT	19	19.K.C 19.Y.V 19.T.c	2.0 1.5 0.8	0	556
660	English	good	34	ɡʊd	ɡ ʊ d	205	1 7 1	AXN	KYT	6	6.K.C 6.Y.V 6.T.c	2.0 1.5 0.8	0	556
661	German	good	34	ɡuːt	ɡ uː t	205	1 7 1	AXN	KYT	8	8.K.C 8.Y.V 8.T.c	2.0 1.5 0.8	0	556
662	Spanish	good	34	bweno	b w e n o	200	1 6 7 4 7	ACXBZ	PWENU	18	18.P.C 18.W.C 18.E.V 18.N.C 18.U.V	2.0 1.5 1.5 1.75 0.8	0	559
663	Danish	good	34	goˀ	g oˀ	205	1 7	AX	KU	4	4.K.C 4.U.V	2.0 1.5	0	556
664	Bulgarian	good	34	dobɤr	d o b ɤ r	204	1 7 1 7 5	AXBYN	TUPER	2	2.T.C 2.U.V 2.P.C 2.E.V 2.R.c	2.0 1.5 1.75 1.3 0.8	0	554
